RoadID,Offset,MaxSpeed,MeanSpeed
13,1000,148,45.17
13,2000,223,42.59
13,3000,177,32.96
13,4000,233,23.02
13,5000,53,9.68
105,1000,255,23.23
105,2000,228,28.97
105,3000,204,26.93
105,4000,248,39.09
105,5000,254,37.65
105,6000,240,35.05
105,7000,212,43.33
105,8000,166,44.56
105,9000,245,52.57
105,10000,130,66.1
105,11000,135,74.14
105,12000,241,76.26
105,13000,170,78.33
105,14000,223,77.72
105,15000,250,77.45
105,16000,214,76.66
105,17000,118,74.24
105,18000,253,61.6
106,1000,134,66.53
106,2000,136,76.59
106,3000,101,76.3
106,4000,203,34.06
106,5000,130,74.77
106,6000,247,76.49
106,7000,227,77.88
106,8000,237,74.63
