RoadID,Offset,MaxSpeed,MeanSpeed
13,1000,92,54.22
13,2000,99,51.45
13,3000,101,44.83
13,4000,86,31.73
13,5000,58,12.16
105,1000,215,27.36
105,2000,254,33.39
105,3000,109,30.19
105,4000,187,45.22
105,5000,206,42.65
105,6000,153,41.18
105,7000,206,49.97
105,8000,142,49.61
105,9000,208,56.27
105,10000,131,65.65
105,11000,109,74.87
105,12000,112,79.22
105,13000,146,80.52
105,14000,192,81.08
105,15000,216,81.57
105,16000,142,81.01
105,17000,206,75.27
105,18000,142,63.25
106,1000,236,67.39
106,2000,132,76.08
106,3000,106,78.35
106,4000,101,36.26
106,5000,111,75.32
106,6000,184,75.45
106,7000,149,76.76
106,8000,203,73.44
